Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,57,5,Some Random Commen with Id 0
1,0,3,173,2,Some Random Commen with Id 1
2,0,3,63,1,Some Random Commen with Id 2
3,0,3,117,9,Some Random Commen with Id 3
4,0,3,89,6,Some Random Commen with Id 4
5,1,1,18,8,Some Random Commen with Id 5
6,1,1,50,6,Some Random Commen with Id 6
7,1,1,154,1,Some Random Commen with Id 7
8,2,1,132,0,Some Random Commen with Id 8
9,3,6,99,1,Some Random Commen with Id 9
10,3,6,16,6,Some Random Commen with Id 10
11,3,6,28,8,Some Random Commen with Id 11
12,3,6,100,5,Some Random Commen with Id 12
13,3,6,38,8,Some Random Commen with Id 13
14,3,6,169,1,Some Random Commen with Id 14
15,3,6,182,7,Some Random Commen with Id 15
16,4,5,143,0,Some Random Commen with Id 16
17,4,5,81,1,Some Random Commen with Id 17
18,4,5,175,6,Some Random Commen with Id 18
19,4,5,161,6,Some Random Commen with Id 19
20,4,5,21,7,Some Random Commen with Id 20
21,4,5,42,7,Some Random Commen with Id 21
22,5,9,109,0,Some Random Commen with Id 22
23,6,0,13,5,Some Random Commen with Id 23
24,6,0,101,3,Some Random Commen with Id 24
25,6,0,141,1,Some Random Commen with Id 25
26,6,0,56,9,Some Random Commen with Id 26
27,6,0,152,7,Some Random Commen with Id 27
28,6,0,54,8,Some Random Commen with Id 28
29,7,4,124,9,Some Random Commen with Id 29
30,7,4,184,8,Some Random Commen with Id 30
31,7,4,71,9,Some Random Commen with Id 31
32,8,7,0,0,Some Random Commen with Id 32
33,8,7,160,2,Some Random Commen with Id 33
34,8,7,126,0,Some Random Commen with Id 34
35,8,7,85,7,Some Random Commen with Id 35
36,9,1,15,6,Some Random Commen with Id 36
37,9,1,68,4,Some Random Commen with Id 37
38,9,1,28,4,Some Random Commen with Id 38
39,9,1,140,4,Some Random Commen with Id 39
40,9,1,54,2,Some Random Commen with Id 40
41,9,1,149,0,Some Random Commen with Id 41
42,10,6,187,0,Some Random Commen with Id 42
43,11,7,189,9,Some Random Commen with Id 43
44,11,7,96,4,Some Random Commen with Id 44
45,12,0,143,0,Some Random Commen with Id 45
46,12,0,196,5,Some Random Commen with Id 46
47,14,6,124,6,Some Random Commen with Id 47
48,14,6,83,5,Some Random Commen with Id 48
49,14,6,181,5,Some Random Commen with Id 49
50,14,6,21,8,Some Random Commen with Id 50
51,15,2,197,5,Some Random Commen with Id 51
52,16,1,112,1,Some Random Commen with Id 52
53,16,1,178,5,Some Random Commen with Id 53
54,16,1,198,9,Some Random Commen with Id 54
55,16,1,199,6,Some Random Commen with Id 55
56,17,1,106,8,Some Random Commen with Id 56
57,17,1,159,1,Some Random Commen with Id 57
58,17,1,180,2,Some Random Commen with Id 58
59,18,6,5,9,Some Random Commen with Id 59
60,18,6,175,0,Some Random Commen with Id 60
61,18,6,124,1,Some Random Commen with Id 61
62,18,6,24,0,Some Random Commen with Id 62
63,18,6,21,7,Some Random Commen with Id 63
